summoner_id,champion_id,mastery_points
eHd9dZP5GeT4p_880PV2ZLAzP1zAs6kRU6KrBwaYcmQAMYc,134,32739
LW96ozwvV9xqOyqE-jLaBcJxkzNKsnfkIe3s3vPxaIWthA,161,31160
F-DDGvDBTCMZKv-SUpYYemgVXxayIp6x-MQ_tU3Gj9M6YScW9IIcKnN6,28,41252
Xrv3vn7i-Sg5MInzxJvR96lmYiSjRSlZeNMwJ73d9eWEjQ,141,86285
fvqlHcQDU4FCTthmptjrX8Z0iL3784zarEzv-a0RQt9qdWo,38,28087
T3RF0k23MNrcLDx_yEmCTJKb_qQdhZD02X32niDI2NUMEyr5CakK6Eef,84,2936
4mf5XAPkCvFNk_rGE3D-xxxLlcljTPqtwlyiC3HV2LD8zQw,145,15555
gL2JNHx7cq9-EPVZcnra6fpw1YoYpRWkHt1auI7IGMJ3kg,145,188290
gL2JNHx7cq9-EPVZcnra6fpw1YoYpRWkHt1auI7IGMJ3kg,350,293
KBfZA3Z4br2hGNlEme1v6WcSllJ9xa3_0tPj0SvIUiyfiQ,54,30653
VXmEhCiDQ0monYwqswxinNIIDaGCADDu4zRzwjhpJQaFplg,120,434457
YdZ9LliS6qe5t8WmiZloSSwDr07DnWdJ1w2H2ynFyQ1a58lcQWKrMDQP,104,131795
-6uvt0gmF6geJ4OD1cW9ri9NYVE9bQCTvwFuzZIcdO3n6W8,60,21784
ZSQp2EqG_6_zOqnzJhcRFViOqlxMzzNJrnQpjgpmeIkvdQ,498,48476
961h_suCP4tatTSdrpaPe9RrZUnQRlulvQzj4jDryys5ppQ,143,4299
HmuB9G_bV_mveuwZby9DOunv9en-r1AyNyR-lYGk2Xr6Kg,4,41141
H7JlTLKjcPZXTDBvRzffL5mUIV3GPkZKThEIRdVyBoxz0w,92,623969
8yZUud4qQkmQ49fkqCS-LfdywjKRq3fADxbgbIC5BwJPDDo,45,145168
6sDFK3vM8GHY-CoxqLn8nZM5qmc5kJgqT1UHmOvnx_YqiK0,254,135654
5qL1NT1owGhXXqJgevS-b-UJ-qur5axW5vpRMDLKwokRfXQ,245,143669
CDv5GPQNXuecQfV692qVEWnSJamqDwsqpC3miejAoKZDXQ,53,35755
GQS7YOKjHGXoplWyg3tBiY2J_yCFYQiDhZQuZrBM98GqEw,13,85756
zpdKBkJkJP0aylssFczoaZ_yklJpjafJDFmJB1_ZpDC-WA,107,16987
bXocyuCaLk0iMdJElMqKDqRfugOaQaiOUistuZjyl1jdK5c,39,16832
bjDsYYC1TwcjnaCK3GdLx-3vhuW_VjTJCs8zTwOEeKJcBPk,53,1681
LqrIGjXqzytdD48eXN0zAujfQkau-YTpCUG_fWMsJo3NTQ,16,11617
9GXUa3TtF7cKhSo0UTmiZ78BFl1ax8gijeLB89mk_uKfXg,267,234730
VdEcqkSa0yr3LHrUgsX7Nujqio1BCA-p-kFlo3efM0clCuc,60,10446
WMpKGjyVi3nD5wuPplNkbumEvCL7pBzIJJLI_A4KKa-jtg,86,918
Ydm-kLhqgIohAJVsKpmvGTXGr-ZRLuu3tUXOLGkzHxlwcw,145,34567
9Cijhccf9YD2LpxPDadP-MdCGUnwRka3KjvP597ockhiW2Q,105,10690
ySD8q14D2QcLgfcFJFNVGQivYFbRdVlQuu-wEK1RBkB1zec,60,43547
ca1CRm8EE8cxCUdB8OQLBgx9DLf4bsfb95PgE_qJtckoDDA,54,73701
TFuddRkCRugqaoq4gszS9Bj-W4OUMKJ7RotgKXolbO8nY28,157,34732
rYcgJIRqJ6E-PIiAH5f46d6V9sLV1CjpEnpGUFY7ltUyYoI,145,200617
CDv5GPQNXuecQfV692qVEWnSJamqDwsqpC3miejAoKZDXQ,163,41715
a0kRF8-AndHJ0jJpV4EPwOy3iGVJCl0x8tJq13ZynouQuHE,16,2102
De--kZc1Bwef4Tk-PyxiXBRNKHN59KhzyGbb6jlRh2vQeEbeeA_x6B8n,107,69171
ZzB0Fm_2ayE1feGHw76feso5HYrjtl6nv4agycJXlLl1YA,84,38933
YpSOtp-WfkMH-kqMVyk30O9NljXfq42lw1vq16_asuJ32w,111,75158
8BGZ9RRRLJuXWKB4OysvHcftQMa8wYgn7scZAj4M9v9LZTc,145,272840
w4P7gfjVXKSbjNjn0N4OnvTvvkBsV7Tahq5LH9Em15YqTFA,57,761026
00Sp7O0eQOq33nhKvB0EBzESOzX7ik56y7c29OxoOamOzFo,92,464542
