top_vs,top_mastery,side,first_brick,first_blood,first_dragon,first_herald,first_baron,first_inhib,num_towers,num_dragons,num_barons,num_inhibs,result,jungle_vs,jungle_mastery,mid_vs,mid_mastery,adc_vs,adc_mastery,sup_vs,sup_mastery
42,4779.0,blue ,False,False,False,False,False,False,6,1,0,1,False,42,35530.0,38,1487661.0,50,13639.0,91,18420.0
2,4992.0,red  ,False,False,False,False,False,False,0,0,0,0,False,21,81602.0,11,9713.0,14,47063.0,35,81999.0
22,47574.0,blue ,False,True,False,False,False,False,1,0,0,0,False,11,120347.0,22,595274.0,13,25849.0,49,55759.0
17,227909.0,red  ,False,True,True,False,True,True,11,3,1,3,True,9,55478.0,60,21996.0,20,60045.0,39,211190.0
14,15453.0,blue ,True,True,True,True,True,True,9,4,1,2,True,40,101436.0,34,226774.0,24,77020.0,61,111175.0
28,9325.0,blue ,True,True,True,False,False,False,4,2,0,0,False,33,1490.0,14,28127.0,15,348.0,72,147525.0
17,71339.0,blue ,True,False,False,True,False,False,3,2,0,0,False,34,49481.0,29,1888831.0,21,14962.0,62,3426.0
24,82758.0,red  ,False,True,False,False,False,False,6,1,0,1,True,32,211899.0,25,102631.0,29,563684.0,90,326953.0
14,392704.0,red  ,False,False,False,False,False,False,0,0,0,0,False,22,34433.0,19,39817.0,13,1127065.0,21,19256.0
29,715608.0,blue ,False,False,True,False,True,True,8,3,1,2,True,29,516781.0,30,43000.0,48,324500.0,84,51144.0
9,9357.0,red  ,True,False,True,True,False,False,4,1,0,0,False,25,22438.0,17,26752.0,17,363001.0,41,152377.0
15,32960.0,blue ,False,False,False,False,False,False,0,1,0,0,False,25,5596.0,12,1925.0,15,96221.0,54,53655.0
17,13117.0,blue ,True,False,False,True,True,True,8,2,1,1,True,23,163291.0,20,121326.0,17,347395.0,55,796354.0
12,94957.0,red  ,True,False,False,True,True,True,7,2,1,1,True,35,78580.0,16,21886.0,23,277904.0,48,55730.0
36,675651.0,blue ,True,True,False,True,True,True,8,2,1,2,True,32,23543.0,24,153122.0,40,695654.0,89,183198.0
14,355701.0,red  ,True,False,True,True,True,True,9,3,1,1,True,42,2678537.0,20,27818.0,24,128321.0,26,2234.0
17,355701.0,red  ,False,False,False,False,False,False,1,1,0,0,False,24,77720.0,24,69587.0,11,7927.0,49,232272.0
26,355701.0,red  ,True,False,False,True,True,True,7,1,3,2,False,41,85037.0,33,124884.0,66,72288.0,105,51274.0
25,130118.0,red  ,False,False,False,False,False,False,5,3,0,0,False,33,296899.0,30,2520.0,18,231322.0,67,88016.0
41,124736.0,blue ,False,False,True,False,False,False,8,2,1,1,True,37,15327.0,22,34030.0,29,100098.0,61,80079.0
20,124736.0,red  ,True,False,True,True,False,False,5,3,0,0,True,23,64302.0,25,18226.0,12,82722.0,41,52348.0
40,124736.0,red  ,False,False,True,False,False,True,5,4,0,1,True,34,468094.0,28,63278.0,33,163904.0,56,3154061.0
22,520316.0,red  ,True,True,False,True,False,True,11,2,1,3,True,24,5161.0,25,266484.0,42,17546.0,55,568260.0
28,53569.0,blue ,True,True,True,True,True,True,10,4,1,2,True,40,55756.0,26,98695.0,35,170844.0,53,4025508.0
16,158904.0,red  ,True,False,True,False,True,True,5,1,1,1,True,31,71390.0,22,11523.0,18,839872.0,54,44604.0
28,2088.0,red  ,False,True,True,False,True,True,7,2,1,1,True,21,149981.0,21,100408.0,13,149516.0,42,319707.0
29,460522.0,red  ,True,False,True,True,True,True,11,2,1,1,True,27,77894.0,14,769082.0,27,157696.0,77,2443.0
12,160765.0,red  ,False,True,False,True,False,False,1,0,0,0,False,29,18752.0,13,27622.0,37,29487.0,65,119770.0
22,75373.0,blue ,True,True,False,True,False,False,4,0,0,0,False,32,2535.0,19,76457.0,19,12082.0,55,740663.0
10,2381932.0,red  ,True,True,True,True,True,False,4,3,1,0,True,26,187100.0,15,65002.0,20,199022.0,28,132778.0
17,1071020.0,blue ,True,True,False,True,True,True,10,2,1,2,True,35,260501.0,11,808440.0,9,1953.0,47,211540.0
29,36530.0,blue ,True,False,True,True,True,True,7,4,1,1,True,35,799362.0,28,340720.0,15,471160.0,54,164246.0
8,39412.0,red  ,False,False,False,True,False,False,1,0,0,0,False,15,76504.0,16,66574.0,5,55756.0,32,426654.0
23,12480.0,red  ,False,True,True,False,True,False,3,3,1,0,False,37,36443.0,22,172053.0,29,199656.0,65,40021.0
