id,side,player0_id,player0_role,player0_champ,player0_vs,player1_id,player1_role,player1_champ,player1_vs,player2_id,player2_role,player2_champ,player2_vs,player3_id,player3_role,player3_champ,player3_vs,player4_id,player4_role,player4_champ,player4_vs,first_brick,first_blood,first_herald,first_dragon,first_baron,first_inhib,num_dragons,num_barons,num_towers,num_inhibs,result
3175040776,red,80ydmGUE2LfK1xcArMZ7H7IvVtsivDR81VbBuFv46XEcWA,Lane.bot_lane Role.duo_support,412,55,EAaAE9i952pWHG6AiATf5_scmth8S6n5udThdpGH_XSFoy-z_hsSB_S3,Lane.bot_lane Role.duo_carry,145,19,g0ITJ-lsylzrNIM31MUylGTVB8ytW5WoPIYzd3QWlQKROAM,Lane.top_lane Role.solo,17,10,GnFoyfdrPMkpTyVBnM7g8epfOK_y-qRwZiZATc0G8_I3Ano,Lane.jungle Role.none,30,23,yzArgsob4yhlB5SLw3J1hpbX_7elI1Evrw4dThv57h378Q,Lane.mid_lane Role.solo,246,25,False,True,False,True,True,True,2,1,9,2,True
3175065358,red,FVbOLXD8yl6CS9Svs15TEe2YQiXL-JeXs2iWIRXnEJcilXM,Lane.jungle Role.none,266,27,OptXUk57uNU3VZiPKa4gPwu1lOrM2K9dhv7uS2mjy_i6h4E,Lane.mid_lane Role.solo,134,28,OxN37PwOHagoLs6GlaBQTL6AXwCYRmdkRrsNin5yC6rrMw,Lane.bot_lane Role.duo_carry,236,20,otJUfiEOxPkWXXgmose3qfK-3acbzrAtaq6EZuigU6JPeUc,Lane.jungle Role.none,60,42,ke64k89iam_9Afc9Dt2-lEIMdphUSiWd6VCKQ-rUBXDyg2w,Lane.bot_lane Role.duo_support,35,57,True,True,False,True,True,True,3,1,10,2,True
3181233936,blue,ZFU5Afi6CJrqI0MnMKJc3raeaggtRTQ4ySt-ZY47XNlFMg,None Role.duo_support,121,13,wq_QQ3sCjisw_IjzaNana3HQ3F6gHxs89Hq0i7zoPQMDrOM,None Role.duo_support,105,12,VpJ1yOyQgg_GDt0xxBGmmZG-yiY25gQsmuBhSZZtKy1E0A,None Role.duo,85,9,FXFQBAoYzYZ8TuA6G-o2arhc7kb70nWtyPabjz1Ag3JMVYZBErv4g918,None Role.duo_support,29,2,Jyq893jjoScbdS0PqGmDfPRC-B54a8kVYLKmtw6BaOoSQA,None Role.duo_support,432,10,True,True,True,True,False,False,2,0,4,0,True
3181979418,red,7N0khX7dHmK_SW4CjXR_dWib2VFHrqaLnQsuOq2azfqMgw,Lane.top_lane Role.solo,122,11,WNKJJwOD4tuxnZXXPC-wB7nn9FyuMf2_qRust6R6h2zugQ,Lane.bot_lane Role.duo_support,555,29,uqqmaQmkTgOGEBcO98BTkEB3_Gn9NNmNc9Anb6u9Fk-LLRY,Lane.jungle Role.none,427,21,DZjGIPuz3vnHIvJXU3PNzvqE9Mjdh-_FhF6Z6WMzT015Wg,Lane.bot_lane Role.duo_carry,119,14,j7-L577wN_9x8SY2GezqvgPkSqL-6qYiJSXSh4r_fyHaKQ,Lane.mid_lane Role.solo,61,17,True,True,True,True,False,True,2,0,7,1,True
3180291868,blue,K31bvask5rbp6nd9O2tWPP37wfNw1Bgpw9n1u62YLAv2LA,Lane.top_lane Role.solo,157,25,bjDsYYC1TwcjnaCK3GdLx-3vhuW_VjTJCs8zTwOEeKJcBPk,Lane.mid_lane Role.duo_carry,13,16,QjfoHsUz4d744tSbxGjAnNlmPwbZGiPVcKsVvERtZ942pLQ,Lane.jungle Role.none,79,40,CDv5GPQNXuecQfV692qVEWnSJamqDwsqpC3miejAoKZDXQ,Lane.bot_lane Role.solo,498,14,R5Tk-E_M9hDt30yExtJoZk6JIiQ1bF9aj_T0NP8Xo1m5Vw,Lane.mid_lane Role.duo_support,53,76,False,False,True,False,False,False,2,0,4,0,False
3175597857,red,ricz-kv7HaE1E0873dWk3uG_SMhXGoWza2TeoQGSLCVnhj4,None Role.duo_support,24,1,sXqJzleOLZHsu08QblRSTolHVuCq2Ux2SNcpoOT7L1nT_Qw,None Role.duo_support,157,7,UOo02YKE1kTRDlztHFOlCnIpNKJ_GhR8A5-cIgZ2dyYUCQ,None Role.duo_support,53,18,zy0pv5u1UTKo_ghBsDZPVVQj_9mkhGKtfBrv_1iqluij2w,None Role.duo,81,10,CAaAHEf5K4VfT_Zp38ywH6LZKSzu3I2CoZbMSoE8ACWjlRI,None Role.duo_support,28,4,False,False,False,False,False,False,0,0,0,0,False
3180152610,blue,_Pj-IwiWkdq04abtZxMIebQu8aaKHhW9HKksmjMdH_H-6jA,Lane.mid_lane Role.duo,498,28,486nP8vgjj7d4QNV8uu9DE9iLWrJX2-c4cazyiSvAwNgrjQ,Lane.mid_lane Role.duo,157,16,2kU48Xg8tkVmMlTKK9fO995IbTm_AoHQlJjK2ABFuujQj4Y,Lane.jungle Role.none,107,19,Y1BzuZrtNU55Vtb0LC0aMEVJqMLN2r-HprlgkYVuGz3M8sw,Lane.top_lane Role.solo,17,25,0AJDCCPRCwO3tS-WNKgtVjxzS_Ouf1D1JZbvgTS7GxenSrI,Lane.mid_lane Role.duo_support,111,35,False,True,True,False,False,False,0,0,3,0,False
3179931427,blue,eP7oh7pwHAv3WTexYoS_IFO00YQBdL_XWCDfhghR9kmJPg,Lane.mid_lane Role.solo,1,15,IDqskevCDIGqkI8AaHwU8agfPzz6__POf5gB7k6B26ElJg,Lane.bot_lane Role.duo_carry,67,16,ZYOGEwKSOutuW6sFPjpzu0tZJC6SFveio38Y1rtWVYCVXg,Lane.bot_lane Role.duo_support,44,40,JWETlSh3DGqv8__95MQ4LpUdP_bgGsmElHtzHVP2hsAuxCQ,Lane.jungle Role.none,163,12,g8F5Fv5nHTbdy_D0TSEpuP2DGpIFZMZ9cYx8ZgmUY-roFCI,Lane.top_lane Role.solo,41,19,False,True,False,False,False,False,1,0,1,0,False
3180554042,blue,-enzJdkmiL8YaNteVcYDzdRCR5Qp4nJdr0Ul6pQGmDHx49U,Lane.top_lane Role.duo,164,12,ZN0DnYIctewmMb6hVwJ0yWoEiLDxrIV-4my6k-ElG4vXug,Lane.bot_lane Role.duo_support,54,47,Uji5S_HvSvpsMiSYrd4wLDpaDaX3ijHzqk073N6QGYjO6dI,Lane.bot_lane Role.duo_carry,157,14,C1aRvjZRUFtN3DrTqViyjWZ9VXONCHyDbHNhCHIInofVfg,Lane.top_lane Role.duo,38,30,mxuHHnxBVl5C3VGLAe76GJWx8Vku10ckOARHScjip9m6y24,Lane.jungle Role.none,64,36,True,True,True,True,True,True,3,2,11,5,True
3178325820,blue,rM5xvcPGklEXfYKoVKS9dn00YpiDVy4N4ULDdn3H-yj5Hg,Lane.top_lane Role.duo,555,36,SXvXqs0OG9sT2rQOiNmDMfmRVxiqZjppMf80NGc4pE8_PQ,Lane.bot_lane Role.duo_support,412,95,frrWSWmevBmA-Fleglq62ZodrMavhqxDTpLw_rin558-kVs,Lane.jungle Role.none,121,30,zfLRLYc8QgECJblsMrA6jwl43KZNQMFYjWHytwk47GJSrC6U1Wj162bG,Lane.top_lane Role.duo,82,15,0zwx4kmWGQu7GXxxkYI0L6k7BcC0zBr4YZaLBn5mH_tHvxcRTH78VUus,Lane.bot_lane Role.duo_carry,145,53,False,True,True,True,False,False,2,0,5,0,False
